(341, 45)
(371, 83)
(40, 7)
(413, 125)
(44, 256)
(59, 103)
(394, 29)
(363, 216)
(397, 41)
(530, 25)
(315, 99)
(350, 69)
(440, 183)
(353, 47)
(203, 175)
(460, 134)
(293, 279)
(71, 43)
(294, 101)
(14, 7)
(293, 294)
(457, 256)
(200, 109)
(272, 295)
(461, 229)
(191, 1)
(249, 136)
(233, 118)
(457, 128)
(156, 118)
(367, 126)
(170, 151)
(321, 97)
(241, 1)
(257, 290)
(262, 197)
(279, 236)
(412, 242)
(254, 268)
(148, 117)
(538, 187)
(288, 106)
(409, 291)
(296, 287)
(449, 306)
(228, 83)
(541, 291)
(83, 132)
(183, 110)
(227, 7)
(393, 253)
(304, 41)
(298, 8)
(342, 101)
(423, 218)
(65, 6)
(153, 246)
(399, 234)
(420, 27)
(345, 78)
(267, 162)
(63, 22)
(552, 82)
(294, 245)
(289, 190)
(339, 264)
(356, 141)
(528, 120)
(435, 63)
(400, 15)
(173, 147)
(73, 97)
(203, 209)
(69, 203)
(237, 280)
(356, 29)
(351, 234)
(532, 240)
(148, 292)
(553, 13)
(442, 1)
(404, 164)
(346, 210)
(129, 224)
(482, 94)
(12, 309)
(549, 249)
(453, 98)
(537, 40)
(226, 277)
(516, 248)
(260, 48)
(175, 252)
(53, 183)
(83, 244)
(42, 4)
(360, 197)
(145, 267)
(215, 64)
(546, 70)
(80, 213)
(99, 177)
(344, 2)
(93, 57)
(292, 311)
(232, 299)
(485, 308)
(469, 262)
(130, 231)
(425, 271)
(107, 63)
(338, 20)
(188, 294)
(179, 1)
(329, 123)
(27, 262)
(79, 279)
(344, 279)
(150, 234)
(322, 170)
(492, 62)
(190, 153)
(446, 256)
(131, 21)
(370, 172)
(476, 81)
(233, 142)
(251, 237)
(163, 10)
(479, 311)
(201, 70)
(96, 232)
(39, 73)
(515, 21)
(278, 186)
(508, 184)
(143, 91)
(210, 141)
(455, 205)
(414, 100)
(70, 160)
(283, 72)
(230, 283)
(26, 123)
(60, 260)
(498, 112)
(78, 101)
(404, 69)
(488, 4)
(479, 202)
(185, 73)
(214, 171)
(291, 116)
(357, 290)
(131, 54)
(237, 295)
(185, 132)
(453, 131)
(502, 192)
(354, 159)
(150, 287)
(442, 220)
(245, 240)
(16, 46)
(57, 35)
(532, 200)
(452, 169)
(139, 107)
(474, 21)
(421, 254)
(391, 59)
(233, 247)
(313, 96)
(515, 216)
(106, 238)
(401, 254)
(489, 29)
(68, 215)
(204, 289)
(176, 76)
(210, 123)
(462, 163)
(340, 218)
(101, 32)
(464, 173)
(272, 206)
(514, 64)
(3, 221)
(555, 204)
(390, 31)
(307, 136)
(301, 229)
(91, 6)
(364, 233)
(506, 3)
(119, 39)
(316, 143)
(109, 144)
(68, 174)
(334, 73)
(114, 72)
(308, 128)
(475, 41)
(475, 299)
(118, 142)
(383, 287)
(61, 214)
(120, 98)
(123, 258)
(267, 295)
(397, 307)
(27, 112)
(79, 307)
(458, 62)
(321, 103)
(292, 33)
(237, 137)
(114, 274)
(231, 216)
(168, 298)
(526, 234)
(501, 272)
(257, 193)
(208, 56)
(120, 151)
(160, 32)
(58, 304)
(479, 140)
(549, 265)
(183, 10)
(306, 206)
(482, 102)
(491, 200)
(383, 248)
(362, 112)
(247, 80)
(488, 265)
(524, 114)
(503, 164)
(71, 246)
(89, 134)
(481, 126)
(160, 82)
(101, 119)
(53, 246)
(164, 302)
(319, 30)
(321, 217)
(115, 26)
(1, 246)
(375, 117)
(496, 56)
(536, 69)
(268, 97)
(165, 81)
(259, 162)
(357, 144)
(415, 5)
(230, 223)
(452, 14)
(23, 95)
(419, 172)
(309, 29)
(358, 308)
(299, 248)
(516, 288)
(395, 278)
(216, 273)
(370, 232)
(329, 5)
(76, 296)
(507, 117)
(399, 284)
(80, 25)
(345, 65)
(48, 54)
(46, 251)
(133, 191)
(193, 114)
(169, 29)
(234, 245)
(326, 282)
(255, 161)
(53, 226)
(46, 4)
(553, 161)
(530, 34)
(272, 115)
(77, 268)
(545, 226)
(466, 200)
(236, 270)
(312, 94)
(550, 145)
(290, 83)
(187, 50)
(162, 159)
(454, 19)
(421, 154)
(250, 34)
(513, 209)
(310, 133)
(218, 76)
(67, 23)
(142, 27)
(120, 125)
(16, 219)
(551, 288)
(390, 73)
(496, 102)
(503, 231)
(328, 158)
(281, 291)
(541, 276)
(550, 305)
(255, 228)
(411, 269)
(239, 137)
(231, 281)
(360, 286)
(530, 278)
(107, 119)
(346, 121)
(299, 141)
(60, 303)
(110, 32)
(289, 51)
(82, 290)
(146, 297)
(358, 106)
(465, 214)
(275, 244)
(495, 180)
(277, 84)
(464, 27)
(193, 301)
(284, 2)
(436, 23)
(447, 106)
(145, 243)
(534, 250)
(194, 154)
(512, 71)
(409, 169)
(453, 167)
(164, 19)
(85, 93)
(492, 104)
(453, 75)
(144, 63)
(362, 116)
(544, 260)
(340, 233)
(368, 26)
(93, 199)
(530, 104)
(85, 34)
(459, 176)
(45, 155)
(21, 183)
(81, 62)
(154, 18)
(520, 132)
(227, 239)
(435, 202)
(479, 22)
(167, 221)
(249, 114)
(150, 67)
(400, 278)
(379, 153)
(402, 186)
(181, 150)
(344, 212)
(330, 177)
(124, 119)
(315, 301)
(550, 299)
(96, 114)
(157, 195)
(503, 211)
(204, 220)
(269, 310)
(392, 119)
(495, 5)
(109, 57)
(165, 276)
(111, 165)
(212, 72)
(310, 265)
(454, 275)
(325, 248)
(205, 63)
(395, 274)
(329, 158)
(192, 248)
(48, 243)
(6, 13)
(186, 73)
(33, 154)
(447, 235)
(363, 105)
(355, 148)
(392, 78)
(61, 177)
(522, 299)
(35, 288)
(353, 103)
(48, 279)
(92, 13)
(310, 291)
(450, 223)
(45, 109)
(130, 87)
(541, 4)
(481, 160)
(282, 54)
(521, 68)
(341, 222)
(440, 28)
(108, 3)
(402, 216)
(263, 57)
(27, 214)
(35, 114)
(527, 147)
(361, 252)
(87, 45)
(537, 208)
(539, 131)
(42, 269)
(128, 221)
(302, 9)
(54, 130)
(47, 168)
(162, 308)
(301, 307)
(31, 203)
(384, 304)
(380, 2)
(533, 293)
(6, 34)
(231, 244)
(90, 52)
(213, 253)
(64, 99)
(17, 303)
(371, 86)
(455, 165)
(16, 107)
(551, 254)
(231, 235)
(200, 223)
